"series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTShrc","MinTShrcv"
82,1365.96551224655,1365.96551224655,3119.08750496825,1234.55085845353,1236.00358784176,1263.66055956341,1263.47565404748,1206.57152336901,1215.83741234192
83,86.4437174925708,86.4437174925708,511.308551101992,443.245378461366,446.888127656594,295.882856539416,314.837901101012,86.6560512749716,86.5272670017453
84,24.5418550840258,24.5418550840258,247.957870346464,160.579316853856,165.800551203242,88.9790262926149,126.463183903624,23.7122586204107,23.692377834494
85,4.96757939927278,4.96757939927278,310.012094961939,157.783840202415,163.083898210553,86.396562208072,123.453693037403,4.91160937407455,4.91089379802159
86,13.3798360853943,13.3798360853943,284.794920769358,159.466526919816,164.394361426814,86.976425112642,126.92645320869,13.4716725499744,13.5240657770078
87,18.493296479286,18.493296479286,262.992170993268,160.607274992089,166.243787220361,90.3262586942595,127.47483321738,18.7188761915861,18.7283422708682
88,17.8479111452763,17.8479111452763,266.798153496087,158.788598052503,163.607596009815,87.3617147642604,124.904280032369,17.7366532398858,17.8072402430717
89,928.878958333768,928.878958333768,1281.71313072943,951.817172981653,956.712809765198,971.152165985757,953.519020948939,1119.65714682847,1119.91997510528
90,43.2612481928606,43.2612481928606,178.819280128943,157.421357736418,162.496883077078,87.2665526047826,123.403911343517,41.5171930362908,41.8203838662201
91,164.682693830398,164.682693830398,238.339025130506,449.73839473314,454.169025083882,338.240298106882,341.732060004927,166.29617601067,165.250860512355
92,894.656413818877,894.656413818877,2177.76705296271,817.025676650747,816.264950131625,822.505875119278,817.237361972253,820.675889619421,823.347562859793
93,318.769458458446,318.769458458446,368.045515424472,493.409334638643,497.265520649267,405.353519156298,409.665677847435,317.471290567609,317.226429336689
94,166.720133801487,166.720133801487,381.139949229485,491.77961622715,494.669248410024,387.216927150807,387.358725002676,170.043103536898,166.894285150669
95,233.995450325473,233.995450325473,397.014151660688,461.452272748683,460.799962414714,392.715946809355,384.478226839557,236.05760204336,235.782961113643
96,1642.06588699398,1642.06588699398,4722.63143209863,1407.54774060859,1409.64294148931,1469.51188084065,1474.35936099608,1197.19977774852,1245.618158054
97,634.106797842266,634.106797842266,1382.78011845361,730.660020512375,729.785901541501,684.562207406606,684.592554143007,642.114301185784,654.171814143009
98,644.3906878028,644.3906878028,1175.01696846951,642.915424902949,649.304741800465,563.129719745343,567.849239312881,563.225416036452,561.667590903684
99,258.84467350714,258.84467350714,274.234110210763,480.6490359728,496.685156406694,333.796711967544,357.949908780611,246.788740801364,246.716139204358
100,1525.40980172917,1525.40980172917,2994.82681342481,1134.45810145636,1143.30215929823,1181.19330812307,1197.52179764903,840.863896652287,865.118071793637
101,67.2448360593068,67.2448360593068,168.900524867908,108.21145884591,111.089562705278,90.8192507281009,115.40545650686,67.1043708060455,66.4324151164334
102,324.679944827602,324.679944827602,821.618947852602,332.856680877067,337.695076855764,322.442169867742,343.05521081897,332.034623762924,333.278287855304
103,28.178116335788,28.178116335788,226.130960007765,92.0620649544998,95.2929165033437,64.6239432612309,95.6814104246235,28.8924925016648,28.9792582080588
104,104.505852268281,104.505852268281,161.164197335971,136.042205598901,139.992751990407,120.887622886705,147.566985589576,106.184441534301,106.22428874224
105,53.2912160911773,53.2912160911773,121.398011048258,95.9539855719395,99.5444098703549,72.4489801023455,101.731477044355,53.7121289337508,53.5474237816866
106,57.2041985616423,57.2041985616423,126.905651525906,106.900227036116,108.970672054426,84.170048695738,111.663170505366,58.0471880065012,58.0556010154111
107,204.161388362683,204.161388362683,341.123446333342,206.875318892968,207.571771431597,203.374890580828,212.257914634412,200.092292647682,200.34967088461
108,264.158132821103,264.158132821103,452.716697556077,273.064993030075,270.537083333708,272.067204043288,263.402680892689,273.191083453406,271.596040760214
109,500.947442282146,500.947442282146,1440.3660427154,456.486382764181,458.753976309743,467.159072738784,478.550472465206,394.089237365279,394.300657459037
110,65.5036946411967,65.5036946411967,152.61162071435,82.210631551668,93.201076155673,48.7320797311708,101.876242066373,66.3911270092174,66.3601290851426
111,5.2461293991643,5.2461293991643,139.8358765579,66.1186143212427,78.1818583421852,27.3123221491816,89.0949801176503,5.53863949172363,5.52880066859677
112,4.32711699259373,4.32711699259373,146.525876477534,66.3016680927542,78.2830761309566,26.6650068854368,89.283622492707,4.43144646507065,4.43105035046234
113,3.60538918126658,3.60538918126658,141.93331580166,65.7668513419664,77.858950724171,26.4835880048478,88.3229913746923,3.57561816740968,3.57577776689237
114,2.42521943279686,2.42521943279686,144.805219141569,65.8544369745021,77.8808627130282,26.5741466134098,89.0474818043546,2.41037818287625,2.41037434052326
115,6.26270841529524,6.26270841529524,141.428225372444,67.0158108361452,78.880890073551,26.8076404212268,89.9739165401604,6.61571230771006,6.60966368363295
116,2.93333447189027,2.93333447189027,144.022308616464,65.2463973415387,77.3275096468507,26.0263148369782,88.6515530070459,2.8612589876488,2.85914325355344
117,195.273915912975,195.273915912975,290.92510473862,167.477387820577,169.652291842295,173.708890802011,183.781482717288,178.381045914423,178.308913417529
118,166.906157923189,166.906157923189,297.228501549822,215.212896875565,221.347766165355,192.005970650236,203.955182236423,169.626886750516,170.036287991473
119,62.6314840969334,62.6314840969334,52.7414932594353,98.1872849586278,110.76044464756,72.3968065776001,110.166507909934,61.9408631172995,61.9742822145963
120,12.6032031666014,12.6032031666014,216.35125607436,95.8525454287943,109.833233541953,55.9406760693575,99.7646079705608,12.5412374518443,12.5004718283133
121,47.600911828184,47.600911828184,114.599220143039,104.326803536856,115.191676608618,72.0457616107011,106.521221707609,48.2155924017521,48.1527305569026
122,108.998000838095,108.998000838095,164.921055911094,94.4274030783265,102.562725111536,81.2648213408771,107.536808232217,107.923609228027,107.583881819148
123,157.335597740325,157.335597740325,246.287670281926,156.589711202224,161.655147400753,147.021291649445,161.99688862382,148.229282028719,148.105867571838
124,207.753846067528,207.753846067528,333.835534213473,192.797383885795,198.267331195422,193.265002800461,208.566141178991,194.180460997586,192.896091593384
125,390.627737386763,390.627737386763,1092.07029731701,359.53301175323,365.909042919843,356.416844419959,377.651461530002,294.22944146831,297.718705939158
126,172.506712531507,172.506712531507,347.52225822738,165.360238190275,171.639664620018,160.020958671608,167.166030298361,160.386875219636,160.171277875765
