"series","Basec","EnergyScore_Optcv_1"
41,23.9040253397659,22.9656903534488
42,30.44594380868,17.6334855062251
43,56.7193746331681,46.4997854044752
44,26.5865220256712,19.6650831097519
45,34.3922095135234,12.2264594076735
46,42.2175339737217,101.75880237262
47,22.3999659669803,5.83724641407548
48,11.7674056148591,1.82555819391759
49,105.739014834391,161.116816016217
50,97.4223110249665,307.663355112786
51,23.3243853152897,19.7484685061073
52,21.4170936482028,60.3436051566322
53,26.6443197991562,16.2355656669492
54,15.3999725701217,49.94589616767
55,18.8999764271158,32.6356669902638
56,23.5111544917085,37.0013549196871
57,15.6025577839423,14.2023562819164
58,10.5640990775637,17.9558607975325
59,48.0116068076506,46.4266890685459
60,20.3174471505336,60.3166533491066
61,6.95586126585043,12.2099597449062
62,4.84666621278071,1.59315847722372
63,7.0869265157783,1.07869328118648
64,23.6412194788029,30.0686336422609
65,126.584121256465,132.053445765671
66,26.0452734329373,44.429895626615
67,4.69999838258983,0.897004404104126
68,5.21745196124081,7.99804143010296
69,25.6713140253601,39.8940078113929
70,65.9770199586918,58.3253610674146
71,149.483960358177,184.690777473878
72,540.080974982849,609.971193297046
73,39.2881586709356,74.0967230981294
74,125.245230441648,190.850114901238
75,28.7482085744612,40.0503430820379
76,23.4821052918737,23.1378201595636
77,25.0876510097629,2.54714292640359
78,36.8594487177205,31.6217563774367
79,162.060155274137,152.726738103412
80,103.629940726688,21.0467289008162
81,32.8443866168025,5.2210695019767
82,36.3990174755726,7.99409447204088
83,266.569707795784,285.472596839912
84,6.38844328949479,8.05952535141825
85,6.39784357735136,9.3301396553676
86,29.5536118809525,37.7985251514728
87,11.3893966846964,2.44627675648181
88,5.67083127299131,1.38338469201971
89,6.52247540567965,15.4036514598259
90,11.2624401498228,15.2124676251359
91,8.22008691236231,6.95580868929921
92,50.0571042513766,34.3241384572775
93,38.731058874281,57.1807891814965
94,36.2120830643433,40.8997969001505
95,28.0160606170061,103.442137841983
96,44.7940251906413,54.1608005627462
97,206.853546487925,178.282662222218
98,352.511112505721,114.109673112838
99,32.0206423646044,10.9932283934362
100,194.272282430862,312.0510202947
101,23.3456912834409,43.1934312141642
102,14.5520871212967,43.2405370273799
103,53.2412936389082,98.9651759397063
104,5.43821961110875,2.88247987562353
105,63.02821569209,43.5534421899477
106,141.545322347501,164.734672716726
107,16.297997729486,7.98882838598481
108,4.86500983710449,2.29602489879303
109,12.2904347044677,9.8485471481646
110,13.6581289270166,27.9429538374005
111,8.7978824432277,1.41202611034559
1,515.654139828188,515.654139828188
2,256.573188830714,287.271290363592
3,128.727902579154,134.614390170792
4,161.396460276395,301.390195688253
5,234.616118573735,386.215832430321
6,196.845947245173,36.6962004122245
7,33.401819035264,238.869883202383
8,191.880454900893,213.42720221119
9,88.2766128091079,467.617961984541
10,594.92308518907,377.757590697226
11,40.2232149508579,15.1143502342605
12,181.65055322531,135.697024665599
13,191.413492290342,144.907328312509
14,27.7259298352463,25.2501621216289
15,149.023451453077,276.182850093355
16,63.367579463782,104.219299000733
17,161.892491745355,128.447509307118
18,131.715695459589,174.336262259818
19,38.5857646658746,48.1145128935014
20,106.138924708483,399.647375729296
21,191.272787646042,135.162438172583
22,73.176081810432,183.416633956303
23,72.3520137249305,78.2531490065417
24,94.7677604604757,145.826507877814
25,92.5545367238884,98.284765861559
26,122.75425586589,121.352646887344
27,20.7773065955961,16.2512331547114
28,203.856555757715,199.65854472919
29,398.326471514965,207.337442632559
30,23.6703167463184,41.4979241681485
31,44.9848621758159,12.218901012176
32,54.7262999804168,135.313933684263
33,18.3650039990247,91.2078573696142
34,156.439337717412,169.392312594557
35,40.7572422864605,43.1910768764808
36,140.306340477735,456.387898481194
37,35.2350377223972,13.1850947408197
38,130.869666827723,131.772901459324
39,468.243779286301,245.705012056371
40,42.3010791106104,15.1143502342605
41,40.6410283165874,7.00925111355015
42,19.1587975078219,7.11355782500933
43,47.8407650234612,53.1714671158604
44,69.2219556707522,91.9488985708824
45,117.121584771506,101.185065025563
46,35.9358128420307,52.2887131743392
47,28.6590669819366,7.48047682055016
