,t,series,Basec,BottomUpc,JPPc,OLSc,OLScv,WLSc,WLScv,MinTSamc,MinTSamcv,MinTShrc,MinTShrcv,EnergyScore_Opt
18,3,5,10.2340408046767,10.2340408046767,14.2564048044014,10.1281668008554,9.53296988209218,10.3721110868995,9.40355674718899,8.76605346072581,8.15256251192233,8.7370536224115,8.4207855952092,6.790219081277056
19,3,6,3.49290359909644,3.49290359909644,7.3495870508978,5.23223062696436,5.73497392265597,4.66871018805874,5.57000391710018,4.38395229146519,4.12464410487179,4.64137013424046,4.61832405368163,4.6623516789365755
20,3,7,5.38959710179008,5.38959710179008,6.85843500128678,4.00070667624342,3.48687278405646,4.51086206826109,3.60349909557849,4.56803039021102,4.42743749137538,4.47491623115147,4.4098968460517,8.93089486749016
21,4,1,1.34026211365734,5.16089906952404,15.1180034129142,1.86790161845691,1.34026211365734,2.83197900782258,1.34026211365734,1.97224102483102,1.34026211365734,1.52052073508779,1.34026211365734,1.273710022949499
22,4,2,4.14696278550422,3.9785588007508,9.64433480543997,2.88099886150649,2.2545472133279,3.1235923507212,2.09037507359048,1.739863361262,1.96416408792896,1.72527501366691,1.74347487247628,1.7705256028984249
23,4,3,1.94527510846105,2.49318816352987,6.01675358330597,1.49924780001705,2.08071308846896,1.32533833011364,1.98629149307968,1.75037673821906,1.8486733948852,1.50324204236692,1.54750622066639,1.3450010767771823
24,4,4,5.09878618063984,5.09878618063984,9.18166161558952,5.79702523445659,6.32536828409614,5.56963565974272,6.46884849411389,7.20248465622993,7.38670947104495,6.94823747256974,7.22767458037211,6.565518194629552
25,4,5,9.94775757732543,9.94775757732543,14.2200334269843,10.0089598968455,9.43668567482225,10.1804413556871,9.27460106086329,8.56845728508424,7.91750521369844,8.50258836819219,8.19197637078807,6.810659209136685
26,4,6,3.89681335949332,3.89681335949332,7.86662145207506,5.58781738113981,6.10471698535015,5.06500923759579,5.93981279209361,4.77267122128392,4.64648706813786,4.99601004364874,5.07720129922437,4.8476898667186035
27,4,7,5.52534014189077,5.52534014189077,7.19947561857029,4.11609007531186,3.61926139829751,4.59314668245675,3.74003177594986,4.7453667331099,4.57056661549131,4.61405386816622,4.53289435236602,8.930894812442734
28,5,1,1.24694127790402,5.81028813805453,15.0990504347025,1.80985684624828,1.24694127790402,2.80224501939037,1.24694127790402,1.90459400446155,1.24694127790402,1.51399266871153,1.24694127790402,1.3211232505620527
29,5,2,4.09332585407203,4.56589541815873,9.5503682129822,2.72254928507187,2.07641364711964,3.07985848426117,1.96109124506485,1.67050932017097,1.95133073652607,1.66477517138834,1.73297740545467,1.7407748975277877
30,5,3,1.73351270278699,2.57117271964527,5.94657775351141,1.41417572592087,2.0106017328318,1.33746974833206,1.9288016004117,1.77821136787212,1.84503085621204,1.48307608971887,1.55290827070039,1.2193842555005459
31,5,4,5.25031459891636,5.25031459891636,9.02982835270466,5.83269744245241,6.45690479077274,5.55782618609952,6.56469720437829,6.97818166846369,7.45817130750737,6.95893243990788,7.41643293859085,6.098057298771843
32,5,5,10.0393713436111,10.0393713436111,13.9584665598936,10.0077275803789,9.39232128284324,10.2527554668435,9.26069814549533,8.03831654855584,7.9165575291243,8.33028264267954,8.20922710244983,6.669009768212118
33,5,6,3.7784221496506,3.7784221496506,7.51771023569797,5.48140184186875,6.04800920910897,4.9300516780531,5.89730207100586,4.66053898071342,4.55364100413271,4.87294705824905,4.99608741248575,4.837147570520794
34,5,7,5.12900616337663,5.12900616337663,6.85490378144409,3.87382783270126,3.31759118194112,4.36464912335602,3.42190908859358,4.46617774255711,4.37868804914521,4.39058741661579,4.34097700451743,8.930894842538978
