"t","series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTSamc","MinTSamcv","MinTShrc","MinTShrcv"
3,6,4.00042478151763,4.00042478151763,7.81823189897513,5.33863781005072,5.81360148814745,4.89862546536824,5.68477913215215,4.73789340711258,4.79047247003098,4.8692048347379,5.03880641888041
3,7,5.00358541079582,5.00358541079582,6.87062386210145,3.73471790062939,3.36032330673219,4.11329226523501,3.46453833132903,4.30161510404403,4.15897691719537,4.17632923326391,4.11413846897104
4,1,1.38924608706215,4.63991186814352,15.1031300708274,2.10061235649631,1.38924608706215,2.91454617260885,1.38924608706215,1.62560680906574,1.38924608706215,1.53416468685611,1.38924608706215
4,2,3.92261848017846,3.78178231913461,9.49717612955344,3.04676121629118,2.57760399159134,3.31432565946737,2.48586780614569,2.18530559618492,2.05244982175588,2.18574855151777,2.09089589721285
4,3,2.10273102691811,2.3365517460827,6.01217251663064,2.17539872339827,2.49577943520664,2.03210403589754,2.42843170041587,2.02453236467316,2.01823296537583,2.03933371911742,2.05191265692164
4,4,5.430763377898,5.430763377898,9.40961269878653,5.8645585621576,6.35522721717311,5.66932167191312,6.47103046367183,7.2474877265106,7.36435469965441,6.89382386115557,7.20468093994038
4,5,9.92969915768752,9.92969915768752,14.2679473065164,9.6634683186127,9.16874073825432,9.82474625954914,9.02684034168728,8.89857190930045,8.06204619356516,8.52859895882125,8.23371370598776
4,6,3.90885781381488,3.90885781381488,7.77075695344217,5.2344870053736,5.71267917595621,4.80014630721181,5.58973756841862,4.64324432385561,4.7035687537662,4.77140956331066,4.94615501503978
4,7,5.58003326517157,5.58003326517157,7.43760063251956,4.25732262302212,3.84304226905858,4.64822424566561,3.94483419525461,4.8204243076339,4.67656340390335,4.69616998968041,4.63463904641729
5,1,1.29863884873027,4.24853483068082,15.067014992271,1.98056053542648,1.29863884873027,2.7199348067684,1.29863884873027,1.5627882111185,1.29863884873027,1.48649784192769,1.29863884873027
5,2,4.05439485783377,3.60746006082961,9.61455701531232,2.98789443501585,2.40563350496696,3.24170904398097,2.29421579881785,1.88305315938794,1.73125073139782,1.8898836439592,1.76649933516555
5,3,1.48523828303217,1.64627649889563,5.70155292373557,1.65563586204073,2.10448460716362,1.46162111633806,1.99152537559679,1.43706708305812,1.47634585065897,1.44754207281961,1.50129729829006
5,4,5.62871608902446,5.62871608902446,9.54429879205393,5.93612639328361,6.39233143935012,5.77669628578201,6.51963105913678,7.26379406584655,7.37478498886686,6.90027383945931,7.21076450442426
5,5,9.89729721905155,9.89729721905155,14.3957327536052,9.73839047948327,9.24205870807591,9.87405799963533,9.0839350183512,8.90988530252942,8.05256622322919,8.54296422830184,8.23438799553267
5,6,3.97867227172744,3.97867227172744,7.73111699972065,5.26880654149581,5.72321895687795,4.8502516925492,5.58514067448096,4.66706071619074,4.71095569141444,4.80563378388882,4.96214663623717
