,series,Basec,BottomUpc,JPPc,OLSc,OLScv,WLSc,WLScv,MinTShrc,MinTShrcv,EnergyScore_Opt
1022,24,66.6380603315325,66.1784597935668,123.488805003643,56.5508139443234,56.0689373839642,58.3401297176629,50.0054545789275,51.7133121856529,47.4133824494176,96.4436203927447
1023,25,150.56115918319,164.081255933696,177.826652623901,132.120957787639,130.463834280917,141.179802734721,118.656027133463,146.951120404113,143.283046842062,65.44182515562775
1024,26,123.270550065289,43.0938799757642,141.810595439976,126.848236869897,128.097126091604,98.6272514972158,124.216166043419,84.3780234559027,90.6514191180366,99.19409836009127
1025,27,45.0095213257221,44.0589572211024,86.0879867874978,59.1998809564651,60.1644675509173,52.6682172339181,64.4895403530523,52.4656467084023,54.0321197395471,65.03685039510495
1026,28,87.4193327725738,119.775947196244,217.545557349997,70.6532705047894,70.2916270175007,78.1257503948977,73.0720872972182,74.000246860603,69.7134795899824,267.8574558206643
1027,29,313.127450463666,313.127450466552,441.912906607677,369.744729791692,370.904632521267,335.307548712253,342.277950291344,356.928283447225,370.849351638548,109.9547612030672
1028,30,81.3759476100871,81.3759475958261,104.536382848393,41.7584247804505,40.9628084405651,64.1259419751592,58.9039418313635,65.7570420160001,64.7770410086169,81.55561863663581
1029,31,75.5781986767945,75.5781986707753,121.360636204622,63.0770205470784,62.0363394873953,70.9094966553378,65.4490195621791,64.3684652916141,59.7519128732296,58.15310473387108
1030,32,15.7770757954079,17.3339158084298,42.4653965192921,22.5243606178278,23.1832468998702,19.7032217390056,25.4055677788883,18.7767233709509,19.9324305287288,74.61908244983121
1031,33,59.3109129990827,72.2335752081517,83.7555784442188,44.9104894019495,43.4853863069104,55.1471216108015,43.4435549122752,52.7310966193321,49.7624702539069,66.87693834938058
1032,34,40.3201504687272,157.806083331769,164.305522469452,56.4202614487775,57.5586910792597,79.4435215026944,93.9305756875956,90.8048947198231,94.9307150567266,132.89328813073075
1033,35,20.750140925947,24.6590182012001,32.246343456538,21.7324248730335,22.7018363012368,20.0969602906448,33.7510437989714,24.0168521065063,24.9878816216561,50.83373362191041
1034,36,162.315975697228,162.315975697228,299.298323226014,193.324439201579,193.706364148572,176.091732384766,181.247905491043,178.362618414777,201.675798743623,167.39631758003608
1035,37,29.6647107124212,29.6647107124212,47.3302978169038,23.9647135552543,23.9589220829948,24.9160575107494,23.6185917772947,25.5910174134529,24.1468614162697,74.51505859366377
1036,38,38.7414625703657,38.7414625703657,73.1134494908275,35.1644793605945,35.1680173029462,36.1128555280118,35.2445039851766,35.9861575645772,34.8776102699454,81.94485658435991
1037,39,288.12021773661,288.12021773661,385.926383626781,252.713787712567,252.269170446305,273.98778941634,267.461876917464,262.519171672431,238.306024261829,182.79844973265395
1038,40,82.4797808799168,82.4797808799168,171.422827951173,114.066723883108,114.611372559055,89.6904780493,93.8471491884555,88.5010209488952,95.9410259555351,102.24419133425789
1039,41,22.8578338331446,22.8578338331446,36.3432252299596,24.984184599921,25.0489586155986,24.0829718969972,25.5180178032136,23.0904134703807,23.9420156521287,91.24556277164871
1040,42,72.0016709461818,72.0016709461818,111.545230998975,82.7788507704343,83.0615278571457,79.3158054693831,86.1859703408723,71.0127880415545,72.649562112408,27.246604472833667
1041,43,21.9635357298446,21.9635357298446,39.8274157113647,27.0478171289088,27.2041055827253,25.0444008977205,28.7336129525508,21.605813944853,23.8542702534092,67.11153291087375
1042,44,183.436960556745,183.436960556745,217.296321414018,172.484694898777,172.216027510364,176.452915505129,169.463973184306,172.68851022548,166.372121377223,85.69188322747486
1043,45,51.2881743910963,51.2881743910963,97.7404697691832,62.0517180901903,62.2628228675419,58.0763083020794,62.689468389833,60.9409946625781,66.0272315096356,79.3991613812162
1044,46,21.5551748113659,21.5551748113659,40.9576873960579,26.1237297075626,26.2198370461184,24.1292446022901,26.2116158350083,22.8346815903987,25.902815276727,71.26073736039245
1045,47,19.8385192873081,19.8385192873081,35.6815396275217,24.1255305797439,24.1951206034837,22.199714321252,24.097018944149,22.4749076496389,23.0154613384386,43.44454345592828
1046,48,47.1963466731975,47.1963466731975,57.1707783888321,31.8280769421429,31.5968607531958,37.075941515512,31.2450573392355,50.7918281285001,48.3740376288578,39.51801881023352
1047,49,49.0507055042845,49.0507055042845,87.3718917570703,30.1613941958667,30.027534579351,42.5284990415164,39.3371145349427,39.672406500295,37.4808115322165,66.83112600397328
1048,50,128.504096275159,128.504096275159,225.546972226565,114.522901461636,114.274136699467,119.897720643079,115.245570619293,106.500864865936,92.7151507580184,141.64970669934414
1049,51,23.5000145859042,23.5000145859042,41.806654554101,23.4683967404279,23.51486725062,22.9884453573226,23.3217623589503,22.8521257720789,22.8735642127346,131.51828909620227
1050,52,139.083015737334,139.083015737334,165.28045504347,118.00507475571,117.605873179194,126.301011714286,119.318426739654,124.864211409818,122.106105349586,58.65690224327468
1051,53,41.9457934680479,41.9457934680479,90.240689354816,54.0313180649078,54.57091513298,45.1346691105566,49.4547808278151,42.6323179377886,49.8548011646133,66.9882453732001
1052,54,51.529604459131,51.529604459131,81.6857597124062,52.4590796387638,52.1431147963551,53.0661553114832,47.25748705823,53.3496642389311,51.0420839463647,42.43547555353751
1053,55,48.4857459325569,48.4857459325569,83.4377663450713,49.0440397626904,48.7527397876191,49.7423837032589,44.4355385808457,45.8263250713652,43.4170310567229,44.93163480751277
1054,56,19.7937677272855,19.7937677272855,38.9165533682935,19.8936390390837,19.8767248668826,19.938626739352,19.8403972836639,20.2413253650289,19.9527791554383,44.23266174850853
1055,57,154.803854387818,154.803854387818,177.073941057781,139.133781388165,138.882575713168,143.478245458374,136.050272679748,141.711457293057,139.0447667178,39.21607252675801
1056,58,17.4465962439181,17.4465962439181,37.1779566248315,24.7287701363158,24.8571374249101,22.3718701610114,26.4984585253376,21.3156624998789,21.638017408254,43.41721921643955
1057,59,22.087929451038,22.087929451038,38.5472224538835,19.0795116671748,19.0877698232737,19.5720656936251,18.8351723452469,18.9426766072376,18.6627550139786,87.34298947109825
1058,60,124.506286079684,124.506286079684,135.08652784463,108.376107064756,108.126620616541,112.860934559705,105.241841573331,122.048630396607,120.107229906911,37.24903570099802
1059,61,11.549444474721,11.549444474721,6.2980083633641,7.20556901844086,7.1783916883185,7.7924479352617,7.13773337327204,8.73156147903449,8.69709816711338,15.54115489491995
1060,62,5.88352483872475,5.88352483872475,10.6062027039545,8.76545101166508,8.87752606308073,7.10482969952622,10.2770325423152,6.43269534450825,6.45772913857401,6.734726317375364
1061,63,8.16136995197503,8.16136995197503,22.3236089286645,15.0073727041551,15.1172676014841,13.767975235768,19.1102264587803,10.9045021720795,11.7761582726755,8.27504264319366
1062,64,31.2472797285928,31.2472797285928,42.5023103182261,24.7055615366693,24.6040316363458,25.6651529517802,21.8565600503384,29.0590360319625,26.1632949781252,39.530767379923184
1063,65,14.3058021271715,14.3058021271715,31.8410433916906,20.8752429368776,20.9879334155425,19.6872031177838,24.6928509288458,15.7930003028007,15.8053235567783,35.44219720057969
1064,66,75.0500238251845,75.0500238251845,95.4350080129956,65.1285221637065,64.969349772435,66.663721735409,60.2084841031705,72.7106491666201,70.3224466402814,52.326075576904685
1065,67,8.41630734779496,8.41630734779496,22.5982833060528,14.760098828266,14.8645338151186,13.5898621634517,18.7238946794864,10.7520092929783,11.2110218672846,27.7458514425116
1066,68,39.5132274350013,39.5132274350013,41.9065813506707,29.0143713468695,28.8477438038802,30.6655630899079,23.8248587213189,35.7844773231123,35.1829496090806,24.598219098787283
1067,69,15.378008573974,15.378008573974,31.0422126035754,21.0041020934102,21.1121359945505,19.9915575537253,24.6090825344421,15.9232062448496,16.742406292303,35.634871903976006
1068,70,14.8464161871428,14.8464161871428,28.8552985763088,16.867048903628,16.8958502338141,16.4745571522583,18.2522961524726,17.4869724297017,18.1956242656779,35.420009046447746
1069,71,62.8573204253151,62.8573204253151,142.236006946439,67.3399936235518,67.4612633696629,65.0653815565308,66.7706771006092,66.4480003601252,74.5309645338925,167.865366006243
1070,72,371.204939521369,371.204939521369,485.848064056777,348.279553088592,347.843709727994,357.547957893653,350.680094880623,320.072497201336,293.929144245524,201.03044664007993
1071,73,69.6263805834881,69.6263805834881,122.129432780642,59.8133798345917,59.6314666426476,63.5807772774018,60.8798435741958,55.2980620317026,51.292195039206,92.43122682235425
1072,74,35.5705930476402,35.5705930476402,68.1493239181672,37.4757160310171,37.5653802358182,36.7098890215686,38.1836808893231,36.4696777113149,38.4381807226399,102.48852170793067
1073,75,19.2712597872476,19.2712597872476,18.4269252704853,19.9292611456922,19.9820139856823,19.5306548809743,20.4343290736578,19.1107488868629,19.1847004259941,47.85177680831424
1074,76,34.6283602953541,34.6283602953541,48.2261785978963,31.2192524792548,31.0894925169653,32.2448995228794,29.6633953609041,32.311309525447,30.803415208638,63.15768371557977
1075,77,28.9550239047064,28.9550239047064,47.7233230570358,29.6435809028204,29.660676900449,29.3167308802246,29.8440989283999,29.1638860196106,29.8613468300058,57.10560468880324
1076,78,26.8465581593112,26.8465581593112,42.9534312384024,27.9007873730877,27.7896477741028,27.8079902971966,26.6502971805242,27.2360338781877,26.5480609305009,45.82611077858324
1077,79,39.538876175121,39.538876175121,74.9161208371517,40.6885429386904,40.5496585937465,40.5894452691847,38.1297428790144,34.2719327894104,31.8732871466256,50.99188517522621
1078,80,56.5620718873016,56.5620718873016,123.906459771135,57.0529408704768,56.9735564116131,57.002768049969,55.63782390365,52.8370963739689,51.1402219353423,111.6410588062224
1079,81,657.298587770673,657.298587770673,712.582916589076,633.794219892852,633.077325341437,645.614770020426,637.978434868824,664.758624281676,655.349091280886,121.681439372772
1080,82,37.1190825842384,37.1190825842384,60.085781967643,30.2729248827142,30.1326076875125,32.8897201342669,30.6834722598884,32.4060165078537,30.0783192699573,50.04552633933981
