"series","c1","c2","c3"
3,44.0633679891277,46.6483568178942,55.3277329961867
4,872.724105168447,892.537018066216,900.345171038719
5,341.843953485934,350.456435496144,370.612296583964
6,40.1770043851095,38.834438310536,35.8637483880284
7,463.808939487047,468.498092843699,476.966959180644
8,116.680148292324,121.83978963542,135.700804939364
9,258.510366340919,257.100521103014,274.139347310428
10,80.6462447314594,84.1092168595565,85.2140462428538
11,28.5813746494029,27.7273154502597,27.6039378463207
12,10.177482877403,11.8026918674878,13.7039398168292
13,104.154600344666,101.500524917198,95.3055455613026
14,157.376631406985,158.83671350303,160.088637150755
15,183.386909062914,183.460708688363,187.852864537188
16,20.3191869103619,20.2367318846981,19.074234479019
17,128.133214606947,125.278720709811,120.727539206919
18,36.8350017025767,31.8973028178746,24.8884400653407
